,Irma,Ian,Wilma,Frances,Jeanne,Charley,Ivan,Michael
33325,4479.0,3.0,5036.0,241.0,0.0,0.0,0.0,0.0
33326,2525.0,0.0,2592.0,58.0,0.0,0.0,0.0,0.0
33327,849.0,0.0,860.0,9.0,0.0,0.0,0.0,0.0
33328,3016.0,5.0,3427.0,113.0,0.0,0.0,0.0,0.0
33329,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
33330,1085.0,4.0,1654.0,53.0,0.0,0.0,0.0,0.0
33331,1440.0,1.0,1936.0,29.0,0.0,0.0,0.0,0.0
33332,637.0,2.0,865.0,16.0,0.0,0.0,0.0,0.0
33333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33334,5286.0,0.0,4579.0,206.0,0.0,0.0,0.0,0.0
33335,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
33336,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
33337,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
33339,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
33340,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
33341,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
33342,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
33343,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33344,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
33345,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
33346,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
33348,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33349,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
33351,6453.0,7.0,4550.0,265.0,0.0,0.0,0.0,0.0
33355,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
33359,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
33360,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33361,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33364,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
33366,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33367,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33368,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
33369,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
33371,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33376,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33380,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33381,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
33384,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33388,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
33391,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33393,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
33394,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
33397,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33401,4911.0,1489.0,1634.0,2306.0,1762.0,1.0,54.0,1762.0
33402,3.0,3.0,8.0,7.0,6.0,0.0,0.0,6.0
33403,2372.0,669.0,967.0,1911.0,1372.0,1.0,33.0,1372.0
33404,7511.0,2522.0,3130.0,5131.0,4344.0,0.0,126.0,4344.0
33405,2798.0,562.0,1436.0,1965.0,1034.0,1.0,19.0,1034.0
33406,4483.0,972.0,1957.0,2532.0,1311.0,0.0,27.0,1311.0
33407,6844.0,1579.0,2814.0,4054.0,3232.0,0.0,93.0,3232.0
33408,797.0,191.0,677.0,1479.0,1082.0,0.0,12.0,1082.0
33409,5295.0,865.0,1960.0,2337.0,1745.0,0.0,28.0,1745.0
